BGGId,Name,Year,Weight,AvgRating,MinPlayers,MaxPlayers,NumRatings,Kickstarted,Rank,Category
160541,Paw Patrol Adventure Game,2014,1.0,3.92492,2,6,65,0,21204,Thematic
160545,Crazier Eights,2014,1.0,6.31667,2,4,36,1,17404,Thematic
160550,GodZ,2014,3.3333,5.80538,3,5,93,0,15125,Thematic
160559,Simurgh,2015,2.9677,6.69585,2,5,907,1,3034,Strategy
160560,Leagues of Adventure: Rocket Race,2014,1.8,6.4625,2,6,80,1,11173,Thematic
160561,Versailles,2014,2.7347,6.51595,2,5,825,0,3576,Strategy
160567,BANG!: The Walking Dead,2014,1.8,6.41871,4,7,549,0,5116,Thematic
160592,Oklahoma Boomers,2014,2.0,6.58139,2,2,72,1,10748,Thematic
160601,Justice League Strategy Game,2014,2.4,6.51538,3,5,78,0,12086,Thematic
160606,Day of Days: The Invasion of Normandy 1944,2015,2.7059,7.5186,2,8,150,0,5853,War
160608,Dungeon Bazar,2014,2.3333,5.78287,2,5,251,1,14497,Strategy
160610,Thunderbirds,2015,2.4935,7.55619,1,4,1780,1,1101,Thematic
160614,Soqquadro,2014,1.5,6.01705,2,12,104,0,13699,Thematic
160658,Postcard Cthulhu,2014,2.0,5.89615,1,6,39,0,17294,Thematic
160664,Warmachine: High Command – Faith & Fortune,2014,2.3333,6.86452,2,4,72,0,10138,Thematic
160669,Town Center (Fourth Edition),2014,3.2333,6.80885,1,4,513,1,21926,Thematic
160744,Far Space Foundry,2015,2.7222,6.7218,1,4,409,1,4452,Strategy
160762,Oni,2014,1.625,6.248,3,6,100,1,11495,Thematic
160773,First to Fight,2014,2.2,6.0641,2,4,78,0,14813,Strategy
160784,Fidelitas,2015,1.8182,6.20493,1,4,630,1,5166,Thematic
160814,Cartoon Network Fluxx,2014,1.4615,5.92052,2,6,467,0,9566,Thematic
160851,Lanterns: The Harvest Festival,2015,1.5633,6.90299,2,4,10130,1,801,Family
160853,Stuff and Nonsense,2015,1.4286,6.42414,2,6,296,0,6356,Thematic
160868,Last Starfleet,2015,2.2,6.36053,2,6,38,1,14898,Thematic
160871,Scotland Rising,2014,2.0,6.51746,1,2,39,1,14236,War
160902,Dungeons & Dragons Dice Masters: Battle for Faerûn,2015,2.1864,7.2487,2,2,1466,0,1480,CGS
160903,Target for Today,2017,3.4167,8.04981,1,1,372,0,3380,War
160908,Plus Ultra: The Court of the Emperor Charles V,2016,3.3636,7.3003,2,4,166,1,6032,Strategy
160950,The Badger Deck,2014,1.0,8.18378,0,0,37,0,9894,Thematic
160958,DC Comics Deck-Building Game: Rivals – Batman vs The Joker,2014,1.8182,7.02713,2,2,912,0,2463,Thematic
160964,Star Wars: Empire vs. Rebellion,2014,1.7407,6.29448,2,2,1763,0,3149,Thematic
160968,Homeland: The Game,2015,2.6522,6.57072,3,6,1048,0,3016,Thematic
161063,Stipulations,2015,1.0,6.45746,4,99,63,1,12443,Thematic
161108,Fleet Commander: 1 – Ignition,2014,2.5111,7.68558,2,2,274,0,5370,Strategy
161109,Speakeasy,2014,1.875,6.30365,2,2,115,0,10410,Thematic
161126,Dust Tactics,2014,3.0,7.32558,2,4,43,0,11240,Thematic
161138,Dragon Run,2014,1.4091,6.12318,2,5,403,0,7152,Thematic
161148,Monsoon Market,2014,2.0,6.19984,2,4,62,0,13327,Thematic
161206,"Pequenas Igrejas, Grandes Negócios",2014,2.0,5.47886,2,14,35,1,18246,Thematic
161226,The Builders: Antiquity,2015,1.9219,6.71768,2,4,1525,0,2224,Family
161290,Space Movers 2201,2015,2.125,6.55551,2,7,127,1,9366,Thematic
161297,Paradox,2016,2.4706,7.05769,2,4,388,1,4178,Strategy
161383,LIE,2015,1.4444,6.20798,2,6,366,0,6683,Thematic
161417,Red7,2014,1.6938,6.90121,2,4,13544,0,716,Family
161429,Who Stole the Cookie?,2014,1.0,5.94091,3,8,88,0,14556,Thematic
161527,Catan: Ancient Egypt,2014,2.4737,7.26921,3,4,374,0,3866,Family
161528,The Great Debate,2015,1.1667,6.48971,3,10,34,1,17008,Thematic
161530,Jäger und Späher,2014,2.65,6.80077,2,2,534,0,3796,Strategy
161533,Lisboa,2017,4.5637,8.20247,1,4,7768,1,61,Strategy
161537,7 Steps,2014,1.75,6.1869,2,4,321,0,7136,Abstract
161543,Length x Wit,2014,1.8,7.20244,2,6,41,1,11785,Thematic
161546,Timeline: American History,2014,1.1515,6.7042,2,8,987,0,2864,Family
161547,Timeline: Americana,2014,1.1304,6.71267,2,8,991,0,2858,Family
161553,Drecksause,2014,1.0,5.27065,2,4,62,0,19095,Thematic
161578,[redacted],2014,2.925,6.19086,2,6,683,1,5278,Thematic
161600,Panzer Vor!,2014,2.1111,7.13673,2,2,49,0,11250,War
161614,Stockpile,2015,2.1053,7.52519,2,5,5949,1,361,Strategy
161617,Dungeon Lords: Happy Anniversary,2014,3.9231,8.18864,2,4,965,1,21926,Thematic
161620,"Omertà, el poder de la mafia",2015,2.5263,7.31292,2,5,140,0,7045,Strategy
161681,Lift Off! Get me off this Planet!,2015,1.8438,6.82655,2,5,386,0,4986,Family
161682,Le Temps des As,2014,2.6667,7.6,1,4,43,0,10873,War
161719,Rise of Cthulhu,2015,1.6667,6.54583,2,2,184,1,8207,Strategy
161720,Rumplestiltskin!,2014,1.0,5.18286,7,20,35,0,18884,Thematic
161726,Sword & Spear: Wargames Rules for Ancient and Medieval Battles,2014,2.6667,7.725,2,6,40,0,11228,Thematic
161743,TacDex: Pirates,2014,1.3333,5.47093,2,2,43,0,18244,Thematic
161757,New Salem,2015,1.6,6.3108,3,8,525,1,5170,Thematic
161761,King's Gold,2014,1.0,6.2552,2,6,506,0,5745,Family
161762,Wakanda,2014,1.5385,5.98378,2,2,298,0,8593,Family
161765,Railroads,2014,3.0,8.33441,3,5,34,1,12552,Thematic
161773,Little Cooperation,2012,1.0,5.99149,2,4,94,0,14553,Childrens
161782,Kremlin (Third Edition),2014,2.75,6.96429,2,6,168,0,6418,Thematic
161813,Hangtown,2015,3.5455,7.32635,2,6,74,1,9082,Thematic
161820,Avec Infini Regret,2014,3.5,7.57324,2,2,71,0,8745,War
161849,Land 6,2014,1.6667,6.1047,1,1,164,0,10680,Thematic
161866,Zombicide Season 3: Rue Morgue,2015,2.4868,7.54824,1,12,2537,1,854,Thematic
161869,Castle Blast,2013,1.0,5.72196,2,4,46,0,16944,Thematic
161880,The Quiet Year,2013,1.4,7.69945,2,4,253,0,4206,Thematic
161881,Fin Finaud questionne tout,2013,0.0,6.33281,3,7,32,0,15488,Thematic
161882,Irish Gauge,2014,2.3667,7.33808,3,5,2300,0,951,Strategy
161885,Rail USA,2014,2.375,6.75763,3,5,59,0,10953,Thematic
161886,1879: US Pacific Northwest,2014,3.5,6.7427,3,5,89,0,9388,Thematic
161887,Amber Route,2014,1.5,5.67959,2,4,98,1,15696,Thematic
161913,Camelot: The Court,2014,1.5,6.59867,2,5,75,0,12507,Thematic
161921,Dolmen,2015,2.6667,6.92277,2,4,112,1,7730,Abstract
161923,Switching Tracks,2015,2.3636,6.51716,2,5,109,1,9278,Thematic
161926,Dead Drop,2015,1.7083,6.36338,2,4,600,1,4631,Family
161928,Utter Nonsense,2014,1.0,5.48541,4,20,245,1,19723,Thematic
161936,Pandemic Legacy: Season 1,2015,2.8336,8.59678,2,4,44614,0,2,Thematic
161943,Chosŏn,2014,2.1579,6.56826,2,4,483,0,4648,Thematic
161965,Johari,2014,2.1538,6.30748,2,4,453,0,5522,Thematic
161966,Armymals,2014,2.25,6.49662,2,4,136,1,9000,Thematic
161970,Alchemists,2014,3.9093,7.67084,2,4,19424,0,119,Strategy
